lAboutText1	~1~ ~2~ (~3~ bits)
lAboutText2	O ~1~ È escrito por Jean Lalonde usando a linguagem de programaÁ„o`n<a href="http://ahkscript.org/">AutoHotkey</a>.`n`nTraduÁ„o para o Alem„o: Edgar "Fast Edi" Hoffmann`nTraduÁ„o para o FrancÍs: Jean Lalonde`nTraduÁ„o para o HolandÍs: Pieter Dejonghe`nTraduÁ„o para o Italiano: Riccardo Leone`nTraduÁ„o para o Espanhol: kiketrucker`nTraduÁ„o para PortuguÍs (Brasil): Igor R¸ckert`nTraduÁ„o para ChinÍs Simplificado: ilaoyao`nTraduÁ„o para PortuguÍs: Luis Neves`nDutch translation: Ric Roggeveen`nKorean translation: Maeng Bong Kyun`nRussian translation: Wylek.ru`nVerificaÁ„o do inglÍs: (ajuda sempre bem-vinda)`n`nÕcones por: <a href="http://www.visualpharm.com">Visual Pharm</a>`nPrograma de instalaÁ„o: <a href="http://www.jrsoftware.org/isinfo.php">Inno Setup</a> por jrsoftware.org`nFontes AutoHotkey_L v~2~: <a href="https://github.com/JnLlnd/QuickAccessPopup">GitHub</a>
lAboutText3	~1~ Jean Lalonde 2013-~2~`nLicensed under the Apache License, Version 2.0 (the "License"). You may not use this file except in compliance with the License. You may obtain a copy of the License at:`n    http://www.apache.org/licenses/LICENSE-2.0`nUnless required by applicable law or agreed to in writing, software distributed under the License is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the License for the specific language governing permissions and limitations under the License.
lAboutText4	Suporte em <a href="http://www.quickaccesspopup.com">www.quickaccesspopup.com</a>
lAboutTitle	Sobre - ~1~ ~2~
lAboutUserComputerName	Nome de usu·rio: ~1~`nComputador: ~2~
lAlternativeMenuTrayTipCopyLocation	Selecione o favorito para copiar
lAlternativeMenuTrayTipEditFavorite	Selecione o favorito para editar
lAlternativeMenuTrayTipNewWindow	Selecione a pasta para abrir em uma nova janela
lAlternativeMenuTrayTipOpenContaining	Selecione o documento, aplicativo ou pasta favorita cuja pasta pai vocÍ deseja abrir
lAlternativeMenuTrayTipRunAs	Selecione o aplicativo para executar em modo elevado
lContextAddFile	Adicionar Arquivo ao menu do Quick Access Popup
lContextAddFileXpress	Adicionar Arquivo ao menu Expresso do Quick Access Popup
lContextAddFolder	Adicionar Pasta ao menu do Quick Access Popup
lContextAddFolderXpress	Adicionar Pasta ao menu Expresso do Quick Access Popup
lContextAddShortcut	Importar atalho para o menu do Quick Access Popup
lContextCancelled	A ativaÁ„o ou desativaÁ„o dos menus de contexto do Windows Explorer foi cancelada pelo usu·rio.
lContextShowMenu	Exibir menu do Quick Access Popup
lControlToolTipAlwaysOnTopOff	Manter esta janela visÌvel sempre no topo
lControlToolTipAlwaysOnTopOn	Parar de manter esta janela sempre no topo
lControlToolTipColumnBreak	Inserir uma quebra de coluna
lControlToolTipMoveDown	Mover favorito(s) selecionado(s) para baixo
lControlToolTipMoveUp	Mover favorito(s) selecionado(s) para cima
lControlToolTipNextMenu	Retornar para o prÛximo menu
lControlToolTipOpenMenuContainingSearchItem	Abrir o submenu ou grupo contendo o favorito selecionado
lControlToolTipParentMenu	Ir para o menu principal
lControlToolTipPreviousMenu	Voltar para o menu anterior
lControlToolTipSearchBoxClear	Limpa a caixa de pesquisa e exibe todos os favoritos
lControlToolTipSearchBoxExtended	Pesquisa a partir do menu atual por nomes de favoritos *e* v√°rias propriedades
lControlToolTipSearchButton	Pesquisa por favoritos
lControlToolTipSeparator	Inserir um separador no menu
lControlToolTipShowContainerInGui	Exibir um menu com favoritos na janela Personalizar
lControlToolTipSortFavorites	Classifica todos os favoritos ou os selecionados na lista
lControlToolTipSortSearchResult	Classificar favoritos no resultado da pesquisa
lControlToolTipTextSeparator	Inserir um separador no menu
lCopyFavoritesToMenuOrGroup	Menus e grupos n„o podem ser copiados.`n`nDeseja continuar sem copiar os menus e grupos?
lCopyLocationCopiedToClipboard	Caminho ou URL copiada para a ¡rea de TransferÍncia
lDiagModeCaution	O ~1~ est· sendo executado no modo de diagnÛstico.`n`nSer„o coletadas informaÁıes sobre a execuÁ„o do aplicativo para o arquivo:`n~2~`n`nNada ser· enviado sem o seu consentimento.`n`nDeseja manter o modo de diagnÛstico ATIVADO?
lDiagModeExit	O ~1~ coletou informaÁıes de diagnÛstico para o arquivo ~2~.
lDiagModeIntro	Envie este arquivo para support@quickaccesspopup.com com uma descriÁ„o da situaÁ„o que exige diagnÛstico.
lDiagModeSee	Deseja ver o arquivo de diagnÛstico?
lDialogActivateAlreadyRunning	Se o aplicativo j· est· em execuÁ„o, ative-o em vez de inici·-lo`n(o aplicativo deve estar exatamente no mesmo local)
lDialogAdd	Adicionar
lDialogAddEditFavoriteTitle	~1~ Favorito: ~4~ - ~2~ ~3~
lDialogAddFavoriteSelectTitle	Adicionar Favorito - ~1~
lDialogAddFavoriteTabs	ConfiguraÁıes B·sicas|OpÁıes do Menu|OpÁıes da Janela|ConfiguraÁıes AvanÁadas
lDialogAddFavoriteTabsExternal	Menu Compartilhado
lDialogAddFavoriteTabsLive	OpÁıes da Pasta Ativa
lDialogAddFileSelect	Escolha o novo documento:
lDialogAddFolderManuallyPrompt	Desculpe, n„o detectamos a pasta atual neste tipo de janela.`n`nDeseja adicionar uma pasta favorita manualmenet agora?
lDialogAddFolderManuallyTitle	Adicionar Pasta Ativa ou P·gina da Web - ~1~ ~2~
lDialogAddFolderSelect	Escolha ou crie a nova pasta:
lDialogAlt	Alt
lDialogAltShort	Alt
lDialogApplicationLabel	Aplicativo
lDialogAppWorkingDirCurrent	Iniciar aplicativo no local da pasta onde seu favorito foi iniciado
lDialogArgumentsLabel	Par‚metros
