lAboutText1	~1~ ~2~ (~3~ bits)
lAboutText2	~1~ foi escrito por Jean Lalonde usando a`nlinguagem de programaÁ„o <a href="http://ahkscript.org/">AutoHotkey</a>.`n`nTraduÁ„o Alem„: Edgar "Fast Edi" Hoffmann`nTraduÁ„o Francesa: Jean Lalonde`nTraduÁ„o Italiana: Riccardo Leone`nTraduÁ„o Espanhola: kiketrucker`nTraduÁ„o Brasileira: Igor Ruckert`nTraduÁ„o ChinÍs: ilaoyao`nTraduÁ„o Portuguesa: Luis Neves`nDutch translation: Ric Roggeveen`nKorean translation: Maeng Bong Kyun`nRevis„o do InglÍs: (a ajuda È bem-vinda)`n`nÕcones por: <a href="https://icons8.com/">Icons8</a>`nInstalador: <a href="http://www.jrsoftware.org/isinfo.php">Inno Setup</a> por jrsoftware.org`nAutoHotkey_L v~2~ sources: <a href="https://github.com/JnLlnd/QuickAccessPopup">GitHub</a>
lAboutText3	~1~ Jean Lalonde 2013-~2~`nLicensed under the Apache License, Version 2.0 (the "License"). You may not use this file except in compliance with the License. You may obtain a copy of the License at:`n    http://www.apache.org/licenses/LICENSE-2.0`nUnless required by applicable law or agreed to in writing, software distributed under the License is distributed on an "AS IS" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. See the License for the specific language governing permissions and limitations under the License.
lAboutText4	Suporte em <a href="http://www.quickaccesspopup.com">www.quickaccesspopup.com</a>
lAboutTitle	Acerca do - ~1~ ~2~
lAboutUserComputerName	Utilizador: ~1~`nComputador: ~2~
lAlternativeMenuTrayTipCopyLocation	Seleccionar o favorito a copiar
lAlternativeMenuTrayTipEditFavorite	Seleccionar o favorito a editar
lAlternativeMenuTrayTipNewWindow	Seleccionar a pasta a abrir numa nova janela
lAlternativeMenuTrayTipOpenContaining	Seleccione o documento, programa ou pasta favorita cuja pasta principal pretende abrir
lAlternativeMenuTrayTipRunAs	Seleccione o programa para executar em modo elevado
lContextAddFile	Adicionar Ficheiro ao menu do Quick Access Popup
lContextAddFileXpress	Adicionar Ficheiro ao menu do Quick Access Popup (Expresso)
lContextAddFolder	Adicionar Pasta ao menu do Quick Access Popup
lContextAddFolderXpress	Adicionar Pasta ao menu do Quick Access Popup (Expresso)
lContextAddShortcut	Importar Atalho para o menu Quick Access Popup
lContextCancelled	A activa√ß√£o ou desactiva√ß√£o dos menus de contexto do Windows Explorer foi cancelada pelo utilizador.
lContextShowMenu	Mostrar o menu do Quick Access Popup
lControlToolTipAlwaysOnTopOff	Mantem esta janela sempre visÌvel em primeiro plano
lControlToolTipAlwaysOnTopOn	Para de manter esta janela sempre visÌvel
lControlToolTipColumnBreak	Insere uma quebra de coluna
lControlToolTipMoveDown	Move o(s) favorito(s) seleccionado(s) para baixo
lControlToolTipMoveUp	Move o(s) favorito(s) seleccionado(s) para cima
lControlToolTipParentMenu	Vai para o menu principal
lControlToolTipPreviousMenu	Regressa ao menu anterior
lControlToolTipSearchBoxClear	Limpa a caixa de procura e mostra todos os favoritos
lControlToolTipSearchBoxExtended	Procura por nomes de favoritos no menu actual *e* v√°rias propriedades
lControlToolTipSearchButton	Procurar favoritos
lControlToolTipSeparator	Insere um separador de menu
lControlToolTipSortFavorites	Ordena todos ou os favoritos seleccionados na lista
lControlToolTipTextSeparator	Insere um separador de texto do menu
lCopyFavoritesToMenuOrGroup	Os menus e grupos n„o podem ser copiados.`n`nDeseja continuar sem copiar menus e grupos?
lCopyLocationCopiedToClipboard	Atalho ou URL copiado para a ·rea de transferÍncia
lDiagModeCaution	~1~ est· a ser executado em modo diagnÛstico.`n`nA informaÁ„o sobre a execuÁ„o do programa ser· armazenada no ficheiro:`n~2~`n`nNada ser· enviado sem o seu consentimento.`n`nDeseja continuar no modo disgnÛstico?
lDiagModeExit	O ~1~ compilou a informaÁ„o de diagnÛstico no ficheiro ~2~.
lDiagModeIntro	Enviar este ficheiro para support@quickaccesspopup.com com a descriÁ„o da situaÁ„o que requer diagnÛstico
lDiagModeSee	Deseja ver o ficheiro de diagnÛstico?
lDialogActivateAlreadyRunning	Se o programa estiver em execuÁ„o, activar em vez de iniciar`n(o programa deve estar exactamente no mesmo lugar)
lDialogAdd	Adicionar
lDialogAddEditFavoriteTitle	~1~ Favorito: ~4~ - ~2~ ~3~
lDialogAddFavoriteSelectTitle	Adicionar Tipo de Favorito - ~1~
lDialogAddFavoriteTabs	DefiniÁıes B·sicas|OpÁıes de Menu|OpÁıes de Janela|DefiniÁıes AvanÁadas
lDialogAddFavoriteTabsExternal	Menu Partilhado
lDialogAddFavoriteTabsLive	OpÁıes Pasta Live
lDialogAddFileSelect	Escolher um novo documento:
lDialogAddFolderManuallyPrompt	Lamentamos, n„o È possÌvel detectar a pasta actual neste tipo de janela.`n`nDeseja adicionar uma pasta favoritos manualmente?
lDialogAddFolderManuallyTitle	Adicionar Pasta Activa ou p·gina Web - ~1~ ~2~
lDialogAddFolderSelect	Seleccionar ou criar uma nova pasta:
lDialogAlt	Alt
lDialogAltShort	Alt
lDialogApplicationLabel	AplicaÁ„o
lDialogAppWorkingDirCurrent	Iniciar o programa na pasta onde este favorito foi aberto
lDialogArgumentsLabel	Par‚metros
lDialogArgumentsLabelHelp	(Se for necess·rio ponha cada par‚metro entre aspas)
lDialogArgumentsPlaceholdersCheckLabel	Par‚metros actuais com recipientes expandidos
lDialogArgumentsPlaceholdersCurrentExample	x:\pasta_respectiva\˙ltima_pasta
lDialogArgumentsPlaceholdersSelectedExample	x:\pasta_respectiva\ficheiro_ou_pasta seleccionado(a)
lDialogAscending	Ascendente
lDialogBrowseButton	Procurar
lDialogBrowseOrSelectApplication	Procurar um ficheiro execut·vel ou`nseleccionar um programa activo desta lista
lDialogCancelButton	Cancelar
lDialogCancelPrompt	Descartar alteraÁ„o?
lDialogCancelTitle	Cancelar - ~1~ ~2~
lDialogChangeHotkeyAlternative	Trata-se de uma tecla de atalho ao menu Alternativo.`n`nDeseja manusear "~1~" em "~2~"?
lDialogChangeHotkeyAny	Qualquer uma
lDialogChangeHotkeyLeftAnyRight	A combinaÁ„o de teclas pode ser associada sÛ ‡ tecla "Esquerda", sÛ ‡ "Direita" ou a "Qualquer uma" delas.
lDialogChangeHotkeyModifierAndNone	Modificadores como "Alt" ou "Control" n„o podem usados sozinhos. Seleccione tambÈm um atalho de teclado ou de rato na secÁ„o ‡ direita.
lDialogChangeHotkeyMouseCheckLButton	N„o pode atribuir o "Bot„o Esquerdo do Rato" sem um modificador`n(como as teclas ~1~, ~2~, ~3~ ou ~4~).
lDialogChangeHotkeyPopup	Trata-se de uma tecla de atalho do menu emergente.`n`nDeseja manusear "~1~" em "~2~"?
lDialogChangeHotkeyTitle	Alterar tecla de atalho - ~1~ ~2~
lDialogChangeHotstringDefaultOptionsPrompt	Seleccionar opÁıes padr„o para novas cadeias de substituiÁ„o criadas (<a href="~1~">Ajuda</a>)
lDialogChangeHotstringReload	AlteraÁıes nas opÁıes desta cadeia ir· exigir reinÌcio autom·tico do ~1~ apÛs guardar os favoritos.
lDialogChangeHotstringTitle	Alterar cadeia de substituiÁ„o - ~1~
lDialogChangeHotstringTitleDefaultOptions	OpÁıes padr„o de cadeias de substituiÁ„o - ~1~
lDialogCloseAllWindows	Fechar todas as janelas
lDialogCloseAllWindowsClose	Fechar janelas seleccionadas
lDialogCloseAllWindowsDetail	TÌtulo da janela:`n~1~`n`nAtalho da janela:`n~2~`n`nDeseja FECHAR esta janela?
lDialogCloseAllWindowsHeader	TÌtulo da janela
lDialogCloseAllWindowsIntro	Seleccione as janelas a fechar e clique em "Fechar janelas seleccionadas". FaÁa duplo-clique ou prima Enter para fechar uma janela ou ver os seus detalhes.
lDialogCloseAllWindowsSelectAll	Seleccionar/Desmarcar todas
lDialogCloseComputerControl	Fechar Centro de Controlo do Computador
lDialogCloseComputerControlDescription	Assuma o controlo de como o seu computador ir· encerrar:`n - Terminar sess„o, Encerrar, Reiniciar, Desligar, forÁado ou n„o`n- Suspender ou Hibernar, imediatamente ou n„o, desactivar eventos de despertar ou n„o`n- Desligar o monitor, Ligar economia de potÍncia do monitor ou Iniciar a protecÁ„o de ecr„.
lDialogCloseComputerDisableWakeEvents	Desactivar eventos de despertar
lDialogCloseComputerForce	ForÁar (pode provocar perda de dados)
lDialogCloseComputerGo	Executar a acÁ„o seleccionada
lDialogCloseComputerHibernate	Hibernar o computador
lDialogCloseComputerHibernateDescription	Ponha o computador num estado de economia de energia que lhe permite voltar rapidamente ao modo normal (semelhante ‡ Suspens„o mas usa menos energia). Quando iniciar o PC novamente, estar· de volta aonde o deixou (embora n„o t„o r·pido como na Suspens„o). A HibernaÁ„o foi concebida para port·teis e pode n„o estar disponÌvel para todos os PCs.
lDialogCloseComputerLogoff	Fechar sess„o
lDialogCloseComputerLogoffDescription	Fecha todas as aplicaÁıes e termina a actual sess„o do utilizador.
lDialogCloseComputerMonitorLowPower	Por o monitor em modo baixo consumo
lDialogCloseComputerMonitorLowPowerDescription	Coloca o monitor em modo de economia de energia. O modo de economia de energia foi concebido para port·teis e pode n„o estar disponÌvel para monitores de computadores de secret·ria.
lDialogCloseComputerMonitorTurnOff	Desligar o monitor
lDialogCloseComputerMonitorTurnOffDescription	Desliga o monitor do computador.
lDialogCloseComputerPowerDown	Desligar o computador
lDialogCloseComputerPowerDownDescription	Fecha todas as aplicaÁıes e desliga a energia do computador.
lDialogCloseComputerPrompt	Por favor, seleccione uma opÁ„o...
lDialogCloseComputerRestart	Reiniciar o computador
lDialogCloseComputerRestartDescription	Fecha todas as aplicaÁıes e reinicia o computador como se o utilizador o desligasse e voltasse a ligar.
lDialogCloseComputerShutdown	Encerrar o computador
lDialogCloseComputerShutdownDescription	Fecha todas as aplicaÁıes preparando o desligar a energia do computador. Dependendo da configuraÁ„o do seu sistema, isto pode ser seguido pelo desligar do sistema.
lDialogCloseComputerStartScreenSaver	Iniciar protecÁ„o de ecr„
lDialogCloseComputerStartScreenSaverDescription	Inicia a protecÁ„o de ecr„ padr„o.
lDialogCloseComputerSuspend	Suspender o computador
lDialogCloseComputerSuspendDescription	Coloca o computador num estado de economia de energia que lhe permite voltar rapidamente ao estado operacional quando pretender voltar a trabalhar. O modo Suspens„o utiliza muito pouca energia, o seu computador arranca rapidamente e regressa de imediato ao que estava a fazer.
lDialogCloseComputerSuspendImmediately	Suspender immediatamente (pode provocar perda de dados)
lDialogContinue	Continuar
lDialogCopy	Copiar
lDialogCopyFavoritesTitle	Copiar Favoritos - ~1~ ~2~
lDialogCtrl	Controlo
lDialogCtrlLeft	Ctrl Esquerda
lDialogCtrlRight	Ctrl Direita
lDialogCtrlShort	Ctrl
lDialogDescending	Descendente
lDialogDialogBoxes	Caixas de di·logo
lDialogDropDown	pendente
lDialogEdit	Editar
lDialogEditIcon	Editar recursos do Ìcone
lDialogEditIconPrompt	Editar recursos do Ìcone no formato "ficheiro,Ìndice" (por exemplo, "shell32.dll,2"):
lDialogElevate	Executar o programa com previlÈgios de administrador
lDialogEndOfMenu	Fim do menu
lDialogErrorMoving	N„o È possÌvel redimensionar o favorito:`n"~1~"
lDialogExtendedSearch	Procura alargada
lDialogExternalLocation	LocalizaÁ„o do ficheiro das definiÁıes externas do menu
lDialogExternalLocationIni	O ficheiro de definiÁıes do menu partilhado de ser um ficheiro .ini
lDialogExternalLocationReadOnly	A localizaÁ„o do menu partilhado existente n„o pode ser alterada. Se o ficheiro para este menu partilhado foi renomeado ou movido, primeiro remova este menu partilhado e crie um novo com o ficheiro movido ou renomeado.
lDialogExternalMenuAdd	Adicionar menu(s) partilhado(s) seleccionado(s)
lDialogExternalMenuAdded	Menu partilhado adicionado.
lDialogExternalMenuAddFromCatalogue	Adicionar menus partilhados do cat·logo - ~1~ ~2~
lDialogExternalMenuAddHeader	Nome do Menu Partilhado|Ficheiro de DefiniÁıes do Menu Partilhado
lDialogExternalMenuAddNotFromCatalogue	Adicionar outro menu partilhado
lDialogExternalMenuName	Nome do menu partilhado
lDialogExternalMenuNotExist	Este menu partilhado n„o existe. Deseja criar um novo menu partilhado em branco nesta localizaÁ„o?`n`n~1~
lDialogExternalMenuOpen	Abrir ficheiro de menu partilhado?
lDialogExternalMenusAdded	~1~ menus partilhados adicionados.
lDialogExternalMenuSelectFromCatalogue	Seleccione um ou mais menus partilhados para adicionar ao seu menu e clique ~1~
lDialogExternalSource	Unidade contendo o menu partilhado
lDialogExternalSourceCloud	Unidade Cloud (p.e. Dropbox, sincronizaÁ„o baseada na hora UTC do PC)
lDialogExternalSourceNetwork	Unidade de rede (sincronizaÁ„o baseada na data e hora do ficheiro)
lDialogExternalStartingNumber	N˙mero do primeiro favorito:
lDialogExternalTip	FaÁa duplo-clique numa linha para ver a informaÁ„o do menu partilhado.
lDialogExternalTypes	Pessoal (menu partilhado em v·rios computadores pelo mesmo utilizador)|Colaborativo (menu numa unidade partilhada por equipa ou grup de trabalho)|Centralizado (menu numa unidade partilhado mantido por um administrador)
lDialogExternalTypesLabel	Tipo de Menu Partilhado
lDialogExternalTypesTitle	Tipo de menu partilhado
lDialogExternalWriteAccessMessage	Mensagem de acesso de escrita no menu partilhado
lDialogExternalWriteAccessUsers	Utilizadores com direito de escrita neste menu partilhado
lDialogFavoriteDisabled	Desactivar este favorito
lDialogFavoriteDisabledGroupMember	Desactivar este item no grupo
lDialogFavoriteDoesNotExistEdit	Deseja editar este favorito?
lDialogFavoriteDoesNotExistPrompt	O favorito "~1~"~2~ n„o existe ou n„o est· disponÌvel.`n`nSe este favorito est· numa unidade de rede, repita depois de autenticar a rede.
lDialogFavoriteDoesNotExistTitle	O favorito n„o existe - ~1~
lDialogFavoriteDropdownEmpty	Por favor escolha um item na lista ~1~ ~2~.
lDialogFavoriteExternalHelpWeb	Consulte <a href="~1~">Ajuda menus externos</a> para mais informaÁ„o.
lDialogFavoriteExternalSaveNote	Nota: Os valores deste separador s„o guardados no menu partilhado quando clicar em "~1~".
lDialogFavoriteFolderLive	Pasta Live (menu incluindo subpastas)
lDialogFavoriteFolderLiveColumns	N˙mero de itens por coluna (0 para sem quebra de colunas)
lDialogFavoriteFolderLiveDocuments	Incluir documentos
lDialogFavoriteFolderLiveExclude	Excluir
lDialogFavoriteFolderLiveExtensions	estas extensıes (separar as extensıes com espaÁos, por exemplo "bak bk")
lDialogFavoriteFolderLiveHideExtensions	Extensıes de ficheiros
lDialogFavoriteFolderLiveHideIcons	Õcones
lDialogFavoriteFolderLiveHideInMenu	Ocultar nos menus
lDialogFavoriteFolderLiveInclude	Incluir
lDialogFavoriteFolderLiveLevels	N˙mero de nÌveis de subpastas a incluir no menu Pasta Live
lDialogFavoriteFolderLiveShowHidden	Oculto
lDialogFavoriteFolderLiveShowItems	Mostrar itens
lDialogFavoriteFolderLiveShowSystem	Sistema
lDialogFavoriteFolderLiveType	Pasta Live
lDialogFavoriteHidden	Ocultar este favorito
lDialogFavoriteLaunchWithDoesNotExistTitle	N„o existe inÌcio com  programa - ~1~
lDialogFavoriteLocationEmpty	A localizaÁ„o est· vazia. Por favor, escolha outra.
lDialogFavoriteMenuPosition	Inserir o favorito antes deste item
lDialogFavoriteNameEmpty	O nome do favorito est· em branco. Por favor, escolha um nome.
lDialogFavoriteNameNoSeparator	O nome deste item n„o pode incluir o caracter reservado "~1~".
lDialogFavoriteNameNotAllowed	Favoritos do tipo "~1~" n„o s„o permitidos em grupos. Por favor, seleccione outro menu no separador "OpÁıes de Menu".
lDialogFavoriteNameNotNew	O nome "~1~" j· È usado neste menu. Por favor, escolha um novo nome.
lDialogFavoriteNameNotNewQAPfeature	O nome "~1~" j· È usado neste menu. Por favor, mude o nome do favorito existente e tente de novo.
lDialogFavoriteParentMenu	Menu superior do Favorito
lDialogFavoriteParentMenuMove	Mover o favorito para este menu
lDialogFavoriteRemoveExternalPrompt	Remover o submenu externo "~1~"`n(o ficheiro ini das definiÁıes externas N√O ser· eliminado)?
lDialogFavoriteRemoveGroupPrompt	Remover o grupo "~1~"`n(os itens do grupo tambÈm ser„o eliminados)?
lDialogFavoriteRemovePrompt	Remover o submenu "~1~"`ne TODO o seu conte˙do (pastas e submenus)?
lDialogFavoriteRemoveTitle	Remover Favorito - ~1~
lDialogFavoriteSelectType	Seleccione o tipo de favorito a adicionar.`n`nNa janela seguinte, ir· dar ao favorito:`n- um nome`n- um conte˙do (dependendo do tipo)`n- v·rias definiÁıes (Ìcone, atalho, etc.)`n`nEscolha o tipo do novo favorito e clique "~1~".
lDialogFavoriteShortNameLabel	Abreviatura para o menu
lDialogFavoritesMenuPosition	Inserir os favoritos antes deste item
lDialogFavoriteSnippetEmpty	O conte˙do est· vazio. Por favor, introduza o conte˙do.
lDialogFavoriteSnippetFixedFont	Fonte de largura fixa
lDialogFavoriteSnippetFontSize	Tamanho da fonte
lDialogFavoriteSnippetHelpNoProcess	Insira ``n para fim de linha e ``t para tabulaÁ„o. Insira ```` (duplo acento grave) para acento grave (backtick).
lDialogFavoriteSnippetHelpProcess	Use Ctrl+Tab para inserir tabulaÁıes ou Enter para inserir fins de linha.
lDialogFavoriteSnippetHelpWeb	Ver as p·ginas de ajuda <a href="~1~">Snippets</a> e <a href="~2~">EspaÁos reservados</a>.
lDialogFavoriteSnippetProcessEOLTab	Codificar automaticamente fins de linha e tabulaÁıes
lDialogFavoriteSnippetPromptLabel	Notificar antes de ~1~ o snippet
lDialogFavoriteSnippetPromptLabelLaunching	iniciar
lDialogFavoriteSnippetPromptLabelPasting	colar
lDialogFavoriteSnippetPromptNoPipe	O caracter barra vertical (|) n„o È permitido nos snippets
lDialogFavoriteSnippetSendMode	Enviar amostra para a aplicaÁ„o actual em:
lDialogFavoriteSnippetSendModeMacro	Modo Macro
lDialogFavoriteSnippetSendModeText	Modo Texto
lDialogFavoritesParentMenuCopy	Copiar ~1~ favoritos para este menu
lDialogFavoritesParentMenuMove	Mover ~1~ favoritos para este menu
lDialogFavoriteType	Tipo de Favorito
lDialogFavoriteTypeNoteApplication	Nota: Existe um novo tipo de aplicaÁ„o Windows que j· n„o usa os ficheiros execut·veis tradicionais. Estas chamadas "Windows Apps" est„o prÈ-instaladas no Windows 8 e 10 ou foram transferidas do Windows Store. Pode adicion·-las usando o novo tipo de favorito "Windows App".
lDialogFavoriteTypeNoteWindowsApps	Nota: "Windows Apps" È um novo tipo de aplicaÁ„o Windows que j· n„o usa os ficheiros execut·veis tradicionais. Elas est„o prÈ-instaladas no Windows 8 e 10 ou foram transferidas do Windows Store. Se pretender adicionar ficheiros execut·veis tradicionais (.exe, .com, .bat e outros ficheiros script), pode adicion·-los no tipo de favorito "Programa".
lDialogFavoriteTypesHelp1	Criar um atalho para uma "Pasta" utilizada com frequÍncia.`n`nDefina o nome do menu do favorito, atalho e diversas opÁıes do menu.`n`nAs opÁıes da Pasta 'Live' permitem actualizar o conte˙do do menu com o actual conte˙do da pasta.`n`nAs definiÁıes avanÁadas permitem ajustar a posiÁ„o da janela e opÁıes de gest„o de ficheiros.
lDialogFavoriteTypesHelp13	Criar uma "Amostra de Texto". Defina o tÌtulo para o menu, o seu conte˙do e diversas opÁıes do menu.`n`nNas opÁıes avanÁadas, escolha "Modo Texto" para colar pedaÁos de texto como faria da ·rea de transferÍncia ou escolha "Modo Macro" para enviar fragmentos como se digitasse teclas (incluindo teclas especiais, consulte a ajuda).
